Unnamed: 0,Annual Retirement per Unit Increase in Relative Cost MW/($/MWh)
hard coal,135.401952
natural gas nonpeaker,349.963209
nuclear,98.329579
hydro,128.396647
onshore wind,81.261315
solar PV,12.242309
solar thermal,0.0
biomass,1796.315357
geothermal,1153.488141
petroleum,0.0
natural gas peaker,0.0
lignite,0.0
offshore wind,0.0
crude oil,0.0
heavy or residual fuel oil,319.210442
municipal solid waste,0.0
