$,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
heating,610621886.249197,638601691.110864,667736696.367524,720237975.462654,738309540.921726,755573500.127431,777269554.578442,769572771.100967,768282425.8082,767354212.161592,770083102.144036,779012045.229216,785942530.43267,792484795.493503,797362680.580787,805241423.62025,822627067.077686,813058628.986713,813961204.063176,819165609.722211,821212297.101654,822142486.158315,841782553.358479,858609842.726381,871263007.784303,879170720.991057,888854635.096508,886566347.041148,894241187.700532,901809788.800639,909242148.605402,916516863.156251,923834156.474076,930930496.246116,937794875.148962,944417498.816835,950791157.570584
cooling and ventilation,690793304.244378,743235979.574323,796549684.072441,861804121.261137,879195243.692478,882415703.008126,884196483.24282,881567769.43534,884146000.499696,900689956.492549,913285710.871597,927005438.658204,941251389.95633,938485282.674097,925395733.082978,916971595.695871,900854716.766406,865261426.688382,896720139.138226,924980784.065831,949573778.766427,971283009.243978,988991182.990933,1004177261.514112,1017875738.965648,1029609707.328613,1044129410.129504,1050387857.690682,1064259514.93889,1078028827.536831,1091657674.095763,1105117730.88072,1118648660.700656,1131930337.751229,1144945686.686943,1157678985.929778,1170117589.13366
envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lighting,358158358.194479,334283225.656445,337219420.89434,345315364.052229,353868747.257225,360196185.403985,545690890.577379,451234772.818817,394645650.66743,386718562.106802,365171805.88168,335316781.516332,323575180.059491,314624168.62503,306392526.827033,300258323.150232,306426628.588112,288124379.785016,265864698.804303,247908876.084266,234421773.850031,222643860.88925,212261612.505865,204015968.528369,196877539.513812,189422684.138078,182026469.303529,160332076.673736,148279875.904175,136142293.927751,123921149.809651,111620911.116145,99270922.177872,86845736.189906,74354708.526931,61807648.271942,49214795.539226
appliances,1477222888.492965,1643508082.491678,1711667463.120278,1751618487.181402,1807148041.566402,1845053325.137303,1928591892.45571,1976072260.723488,1935193918.394442,1911393165.598206,1902448707.243103,1921868543.082776,1934913733.918812,1930191142.421936,1902081337.850436,1937326970.58708,1959010994.442428,1994669463.511793,2014808388.059693,2047313410.084854,2074576730.397238,2094427734.348046,2105141541.305267,2138683073.084582,2164610230.763178,2180888281.037203,2197630952.845674,2238588894.874665,2264681537.260569,2290538975.843109,2316081837.055673,2341251910.520752,2366558193.281318,2391324168.34261,2415516374.578491,2439104296.53134,2462063963.285156
other component,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
