$,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
heating,1782545928.864302,1813211695.817541,1831494432.870417,1856181399.34038,1871255010.253002,1884445605.822252,1884600767.306416,1888519262.155883,1889328806.755186,1883150250.977927,1872820313.322787,1873055712.021043,1876111831.689716,1869203733.481642,1864414839.985755,1865423364.820938,1862566897.126194,1869330054.877643,1887576689.818065,1901047325.715917,1911620877.879677,1927082928.32632,1959487722.119406,1973375503.046936,1986554970.129341,1999946281.960241,2009258376.681809,2021345914.40703,2035189991.932339,2049034069.457652,2062878146.982962,2076722224.508271,2090566302.03358,2104410379.55889,2118254457.0842,2132098534.609509,2145942612.134818
cooling and ventilation,7533478883.614959,7731977089.913188,7893818921.510461,8094664809.213742,8235088147.455036,8353963306.578,8422554415.546708,8493322911.748847,8538694654.051577,8550733770.981974,8560675574.728344,8591912637.668488,8611187151.999002,8632677854.14041,8665579895.604214,8718616206.397211,8777867652.997253,8871121075.031263,9020990866.61761,9174736355.761381,9345647739.842503,9546204647.238777,9759108819.418264,9912449162.727339,10037733311.897942,10129463008.185358,10201403850.482428,10407775923.78394,10552173334.959688,10696570746.135376,10840968157.311064,10985365568.486813,11129762979.6625,11274160390.838247,11418557802.013935,11562955213.189625,11707352624.365372
envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lighting,342473391.057394,347345939.39347,352274035.560482,360536190.689376,366847609.16195,374082904.840788,400370420.975566,408263961.856708,412834728.504805,416214783.808202,417915940.206995,422754132.973808,425502452.393239,428052719.252988,429933723.950595,433087914.789816,437039057.199184,440313809.210493,447313815.869727,454407386.169971,463297296.787567,471783624.192823,481579427.6306,487739794.786286,494169131.679365,499615201.410716,505292743.938261,512793927.863615,519615335.936269,526436744.008926,533258152.08158,540079560.154234,546900968.226889,553722376.299545,560543784.3722,567365192.444854,574186600.51751
appliances,8354806804.3817,8480794690.96334,8589867082.926213,9128217671.0324,9209868211.127281,9265507981.882986,9308850603.408691,9355690999.60056,9393066409.68261,9427732106.467306,9483643288.740923,9576896101.07049,9659411359.847204,9740791794.967163,9829782451.47043,9929810676.474207,10023538043.982615,10120417398.571682,10245871408.115076,10368683835.794668,10512570165.99926,10687553394.18214,10880500915.186665,11036221356.573318,11168815082.55836,11266099970.36405,11346750615.35231,11520505180.108847,11656218938.644993,11791932697.181137,11927646455.717283,12063360214.25343,12199073972.789576,12334787731.325722,12470501489.861868,12606215248.398014,12741929006.93416
other component,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
