$,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
heating,1650947201.403252,1726596603.385752,1805369337.338695,1947317802.901592,1996178155.095806,2042854970.613957,2101514905.974957,2080705001.469242,2077216276.289371,2074706651.664575,2082084790.871356,2106226103.080969,2124964155.8902,2142652572.300176,2155840980.56881,2177142851.766838,2224148666.751554,2198278342.670761,2200718647.923651,2214789874.571831,2220323532.760851,2222838498.330303,2275939631.305825,2321435816.285024,2355646361.160162,2377026559.417358,2403209097.664109,2397022220.242786,2417772797.634726,2438236133.597859,2458331112.005638,2477999862.66655,2497783734.153887,2516970210.352475,2535529530.60324,2553435213.738154,2570667766.843704
cooling and ventilation,1867707820.621638,2009497838.339311,2153642870.182613,2330072233.233408,2377092861.798902,2385800064.102214,2390614785.308559,2383507493.87096,2390478294.387818,2435208426.834121,2469263749.628702,2506357975.537384,2544874959.544357,2537396195.38732,2502005791.355408,2479229329.592938,2435653891.563034,2339419799.784892,2424475174.392976,2500883887.712564,2567376322.211552,2626071881.785558,2673949726.56619,2715008546.111843,2752045317.183082,2783770616.69566,2823027746.589225,2839948801.531629,2877453801.317058,2914682090.395349,2951530599.417904,2987922749.093956,3024506519.216945,3060416381.032211,3095606167.68184,3130033372.508578,3163663803.404128
envelope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lighting,968357919.092088,903806378.876393,911745012.292489,933634130.583578,956760036.1281,973867621.911854,1475392331.846928,1220009963.837155,1067009138.0404,1045576554.359469,987320278.765269,906600818.762679,874854881.54409,850653902.820211,828397894.158558,811812759.198428,828490095.581866,779006041.503062,718822220.964012,670274804.08279,633809531.235426,601965418.079879,573894783.373169,551600916.816838,532300643.326168,512144843.31868,492147590.588218,433492148.317217,400906439.256772,368089883.7958,335047400.167087,301791067.393997,268400224.166536,234806069.591186,201033897.929419,167110230.140417,133062752.568877
appliances,3993988830.93915,4443576508.435098,4627860008.96499,4735876168.968774,4886012226.112446,4988497288.045253,5214361717.456281,5342735073.994132,5232211710.213816,5167861271.578866,5143678010.510169,5196183700.779735,5231454171.405702,5218685632.657393,5142684748.584314,5237978874.19399,5296606282.259968,5393016599.417135,5447466500.199202,5535350797.097938,5609063029.470036,5662734475.180805,5691701549.585965,5782388272.857525,5852487903.043969,5896499102.362881,5941766505.62613,6052505084.263326,6123052137.839857,6192963267.500674,6262023869.788857,6330076560.467106,6398497522.182236,6465457646.177487,6530866463.123496,6594641467.937325,6656717850.107644
other component,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
