load factor,urban residential,rural residential,commercial
heating,0.530445,0.530445,1.214964
cooling & ventilation,2.676707,2.676707,4.902382
envelope,0.0,0.0,0.0
lighting,1.397276,1.397276,1.372922
appliances,0.530445,0.530445,1.214964
other,1.102772,1.102772,1.372922
