Unit: dimensionless (MW-peak/MW-avg),summer,winter
LDVs,2.198528,2.250997
HDVs,0.976946,0.975816
aircraft,0.976318,0.983709
rail,0.976318,0.983709
ships,0.976318,0.983709
motorbikes,2.198528,2.250997
