Unit: dimensionless (peak time capacity factors),summer,winter
hard coal,0.95,0.95
natural gas nonpeaker,0.95,0.95
nuclear,0.95,0.95
hydro,0.73,0.64
onshore wind,0.199953,0.258749
solar pv,0.57696,0.043564
solar thermal,0.39,0.0
biomass,0.87,0.86
geothermal ,0.95,0.95
petroleum,0.95,0.95
natural gas nonpeaker,0.95,0.95
lignite,0.95,0.95
offshore wind,0.318615,0.619518
crude oil,0.95,0.95
heavy or residual fuel oil,0.95,0.95
municipal solid waste,0.95,0.95
