Fraction Owned by Entity (dimensionless),government,domestic industries,labor and consumers,foreign entities
LDVs,0.0,0.5,0.5,0
HDVs,0.0079244934,0.9776022006,0.014473306,0
aircraft,0.0,1.0,0.0,0
rail,0.0,1.0,0.0,0
ships,0.0,1.0,0.0,0
motorbikes,0.0,0.5,0.5,0
