Unnamed: 0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
transportation sector,0.790998,0.788737,0.786475,0.784214,0.781952,0.779691,0.77741,0.775129,0.772848,0.770567,0.768285,0.765956,0.763626,0.761296,0.758966,0.756637,0.754314,0.751991,0.749669,0.747346,0.745023,0.742795,0.740567,0.738338,0.73611,0.733881,0.73182,0.729758,0.727696,0.725635,0.723573
electricity sector,0.82678,0.824417,0.822053,0.819689,0.817325,0.814962,0.812577,0.810193,0.807809,0.805425,0.80304,0.800605,0.79817,0.795735,0.7933,0.790864,0.788437,0.786009,0.783581,0.781154,0.778726,0.776397,0.774068,0.771738,0.769409,0.76708,0.764925,0.76277,0.760615,0.75846,0.756305
residential buildings sector,0.860625,0.858165,0.855704,0.853244,0.850783,0.848323,0.845841,0.843359,0.840877,0.838396,0.835914,0.833379,0.830844,0.828309,0.825774,0.823239,0.820712,0.818185,0.815658,0.813131,0.810604,0.808179,0.805755,0.80333,0.800906,0.798481,0.796238,0.793995,0.791752,0.789509,0.787265
commercial buildings sector,0.860625,0.858165,0.855704,0.853244,0.850783,0.848323,0.845841,0.843359,0.840877,0.838396,0.835914,0.833379,0.830844,0.828309,0.825774,0.823239,0.820712,0.818185,0.815658,0.813131,0.810604,0.808179,0.805755,0.80333,0.800906,0.798481,0.796238,0.793995,0.791752,0.789509,0.787265
industry sector,0.808039,0.805729,0.803418,0.801108,0.798798,0.796488,0.794158,0.791828,0.789497,0.787167,0.784837,0.782457,0.780077,0.777697,0.775317,0.772937,0.770564,0.768192,0.765819,0.763446,0.761074,0.758797,0.756521,0.754245,0.751968,0.749692,0.747586,0.745479,0.743373,0.741267,0.739161
district heat and hydrogen sector,0.82678,0.824417,0.822053,0.819689,0.817325,0.814962,0.812577,0.810193,0.807809,0.805425,0.80304,0.800605,0.79817,0.795735,0.7933,0.790864,0.788437,0.786009,0.783581,0.781154,0.778726,0.776397,0.774068,0.771738,0.769409,0.76708,0.764925,0.76277,0.760615,0.75846,0.756305
LULUCF sector,0.834525,0.832139,0.829754,0.827368,0.824982,0.822596,0.820189,0.817783,0.815376,0.81297,0.810563,0.808105,0.805647,0.803189,0.800731,0.798273,0.795823,0.793372,0.790922,0.788471,0.786021,0.78367,0.781319,0.778968,0.776617,0.774266,0.772091,0.769915,0.76774,0.765565,0.76339
geoengineering sector,0.808039,0.805729,0.803418,0.801108,0.798798,0.796488,0.794158,0.791828,0.789497,0.787167,0.784837,0.782457,0.780077,0.777697,0.775317,0.772937,0.770564,0.768192,0.765819,0.763446,0.761074,0.758797,0.756521,0.754245,0.751968,0.749692,0.747586,0.745479,0.743373,0.741267,0.739161
