Unnamed: 0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
transportation sector,0.266509,0.268606,0.270703,0.2728,0.274897,0.276994,0.27911,0.281225,0.28334,0.285455,0.287571,0.289731,0.291892,0.294052,0.296212,0.298373,0.300526,0.30268,0.304834,0.306988,0.309142,0.311208,0.313274,0.315341,0.317407,0.319473,0.321385,0.323297,0.325209,0.327121,0.329032
electricity sector,0.11519,0.11772,0.120249,0.122779,0.125309,0.127838,0.13039,0.132942,0.135493,0.138045,0.140596,0.143202,0.145809,0.148415,0.151021,0.153627,0.156225,0.158823,0.161421,0.164019,0.166617,0.16911,0.171603,0.174095,0.176588,0.179081,0.181387,0.183693,0.185999,0.188306,0.190612
residential buildings sector,0.148033,0.150469,0.152905,0.15534,0.157776,0.160212,0.162669,0.165126,0.167583,0.170039,0.172496,0.175006,0.177515,0.180024,0.182534,0.185043,0.187545,0.190046,0.192548,0.19505,0.197551,0.199952,0.202352,0.204752,0.207152,0.209552,0.211773,0.213993,0.216214,0.218435,0.220655
commercial buildings sector,0.148033,0.150469,0.152905,0.15534,0.157776,0.160212,0.162669,0.165126,0.167583,0.170039,0.172496,0.175006,0.177515,0.180024,0.182534,0.185043,0.187545,0.190046,0.192548,0.19505,0.197551,0.199952,0.202352,0.204752,0.207152,0.209552,0.211773,0.213993,0.216214,0.218435,0.220655
industry sector,0.16055,0.162949,0.165349,0.167749,0.170149,0.172549,0.17497,0.177391,0.179812,0.182232,0.184653,0.187126,0.189598,0.192071,0.194543,0.197016,0.199481,0.201946,0.20441,0.206875,0.20934,0.211705,0.21407,0.216435,0.2188,0.221165,0.223353,0.225541,0.227729,0.229917,0.232105
district heat and hydrogen sector,0.11519,0.11772,0.120249,0.122779,0.125309,0.127838,0.13039,0.132942,0.135493,0.138045,0.140596,0.143202,0.145809,0.148415,0.151021,0.153627,0.156225,0.158823,0.161421,0.164019,0.166617,0.16911,0.171603,0.174095,0.176588,0.179081,0.181387,0.183693,0.185999,0.188306,0.190612
LULUCF sector,0.165475,0.167861,0.170246,0.172632,0.175018,0.177404,0.179811,0.182217,0.184624,0.18703,0.189437,0.191895,0.194353,0.196811,0.199269,0.201727,0.204177,0.206628,0.209078,0.211529,0.213979,0.21633,0.218681,0.221032,0.223383,0.225734,0.227909,0.230085,0.23226,0.234435,0.23661
geoengineering sector,0.16055,0.162949,0.165349,0.167749,0.170149,0.172549,0.17497,0.177391,0.179812,0.182232,0.184653,0.187126,0.189598,0.192071,0.194543,0.197016,0.199481,0.201946,0.20441,0.206875,0.20934,0.211705,0.21407,0.216435,0.2188,0.221165,0.223353,0.225541,0.227729,0.229917,0.232105
