Unnamed: 0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
transportation sector,0.508278,0.508208,0.508138,0.508068,0.507997,0.507927,0.507883,0.507839,0.507796,0.507752,0.507708,0.507664,0.507619,0.507575,0.50753,0.507486,0.507414,0.507342,0.50727,0.507198,0.507126,0.507015,0.506905,0.506794,0.506683,0.506572,0.506429,0.506286,0.506142,0.505999,0.505856
electricity sector,0.508244,0.508173,0.508103,0.508033,0.507963,0.507892,0.507849,0.507805,0.507761,0.507717,0.507673,0.507629,0.507585,0.50754,0.507496,0.507451,0.507379,0.507308,0.507236,0.507164,0.507092,0.506981,0.50687,0.506759,0.506648,0.506537,0.506394,0.506251,0.506108,0.505965,0.505821
residential buildings sector,0.510316,0.510245,0.510175,0.510104,0.510033,0.509963,0.509919,0.509875,0.509831,0.509787,0.509743,0.509698,0.509654,0.509609,0.509565,0.50952,0.509448,0.509376,0.509304,0.509231,0.509159,0.509048,0.508936,0.508825,0.508714,0.508602,0.508459,0.508315,0.508171,0.508027,0.507884
commercial buildings sector,0.510316,0.510245,0.510175,0.510104,0.510033,0.509963,0.509919,0.509875,0.509831,0.509787,0.509743,0.509698,0.509654,0.509609,0.509565,0.50952,0.509448,0.509376,0.509304,0.509231,0.509159,0.509048,0.508936,0.508825,0.508714,0.508602,0.508459,0.508315,0.508171,0.508027,0.507884
industry sector,0.507598,0.507528,0.507457,0.507387,0.507317,0.507247,0.507203,0.507159,0.507116,0.507072,0.507028,0.506984,0.50694,0.506895,0.506851,0.506807,0.506735,0.506663,0.506591,0.506519,0.506447,0.506337,0.506226,0.506115,0.506004,0.505894,0.505751,0.505608,0.505465,0.505322,0.505179
district heat and hydrogen sector,0.508244,0.508173,0.508103,0.508033,0.507963,0.507892,0.507849,0.507805,0.507761,0.507717,0.507673,0.507629,0.507585,0.50754,0.507496,0.507451,0.507379,0.507308,0.507236,0.507164,0.507092,0.506981,0.50687,0.506759,0.506648,0.506537,0.506394,0.506251,0.506108,0.505965,0.505821
LULUCF sector,0.506424,0.506354,0.506284,0.506214,0.506144,0.506074,0.506031,0.505987,0.505943,0.5059,0.505856,0.505812,0.505768,0.505723,0.505679,0.505635,0.505563,0.505492,0.50542,0.505348,0.505277,0.505166,0.505056,0.504945,0.504835,0.504724,0.504582,0.504439,0.504296,0.504154,0.504011
geoengineering sector,0.507598,0.507528,0.507457,0.507387,0.507317,0.507247,0.507203,0.507159,0.507116,0.507072,0.507028,0.506984,0.50694,0.506895,0.506851,0.506807,0.506735,0.506663,0.506591,0.506519,0.506447,0.506337,0.506226,0.506115,0.506004,0.505894,0.505751,0.505608,0.505465,0.505322,0.505179
