Unnamed: 0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
transportation sector,0.733491,0.731394,0.729297,0.7272,0.725103,0.723006,0.72089,0.718775,0.71666,0.714545,0.712429,0.710269,0.708108,0.705948,0.703788,0.701627,0.699474,0.69732,0.695166,0.693012,0.690858,0.688792,0.686726,0.684659,0.682593,0.680527,0.678615,0.676703,0.674791,0.672879,0.670968
electricity sector,0.88481,0.88228,0.879751,0.877221,0.874691,0.872162,0.86961,0.867058,0.864507,0.861955,0.859404,0.856798,0.854191,0.851585,0.848979,0.846373,0.843775,0.841177,0.838579,0.835981,0.833383,0.83089,0.828397,0.825905,0.823412,0.820919,0.818613,0.816307,0.814001,0.811694,0.809388
residential buildings sector,0.851967,0.849531,0.847095,0.84466,0.842224,0.839788,0.837331,0.834874,0.832417,0.829961,0.827504,0.824994,0.822485,0.819976,0.817466,0.814957,0.812455,0.809954,0.807452,0.80495,0.802449,0.800048,0.797648,0.795248,0.792848,0.790448,0.788227,0.786007,0.783786,0.781565,0.779345
commercial buildings sector,0.851967,0.849531,0.847095,0.84466,0.842224,0.839788,0.837331,0.834874,0.832417,0.829961,0.827504,0.824994,0.822485,0.819976,0.817466,0.814957,0.812455,0.809954,0.807452,0.80495,0.802449,0.800048,0.797648,0.795248,0.792848,0.790448,0.788227,0.786007,0.783786,0.781565,0.779345
industry sector,0.83945,0.837051,0.834651,0.832251,0.829851,0.827451,0.82503,0.822609,0.820188,0.817768,0.815347,0.812874,0.810402,0.807929,0.805457,0.802984,0.800519,0.798054,0.79559,0.793125,0.79066,0.788295,0.78593,0.783565,0.7812,0.778835,0.776647,0.774459,0.772271,0.770083,0.767895
district heat and hydrogen sector,0.88481,0.88228,0.879751,0.877221,0.874691,0.872162,0.86961,0.867058,0.864507,0.861955,0.859404,0.856798,0.854191,0.851585,0.848979,0.846373,0.843775,0.841177,0.838579,0.835981,0.833383,0.83089,0.828397,0.825905,0.823412,0.820919,0.818613,0.816307,0.814001,0.811694,0.809388
LULUCF sector,0.834525,0.832139,0.829754,0.827368,0.824982,0.822596,0.820189,0.817783,0.815376,0.81297,0.810563,0.808105,0.805647,0.803189,0.800731,0.798273,0.795823,0.793372,0.790922,0.788471,0.786021,0.78367,0.781319,0.778968,0.776617,0.774266,0.772091,0.769915,0.76774,0.765565,0.76339
geoengineering sector,0.83945,0.837051,0.834651,0.832251,0.829851,0.827451,0.82503,0.822609,0.820188,0.817768,0.815347,0.812874,0.810402,0.807929,0.805457,0.802984,0.800519,0.798054,0.79559,0.793125,0.79066,0.788295,0.78593,0.783565,0.7812,0.778835,0.776647,0.774459,0.772271,0.770083,0.767895
