Unnamed: 0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
transportation sector,0.134232,0.134588,0.134944,0.1353,0.135656,0.136012,0.136363,0.136713,0.137064,0.137415,0.137765,0.138119,0.138473,0.138828,0.139182,0.139536,0.139914,0.140292,0.14067,0.141047,0.141425,0.141835,0.142245,0.142655,0.143064,0.143474,0.1439,0.144327,0.144753,0.145179,0.145605
electricity sector,0.133265,0.133621,0.133978,0.134334,0.134691,0.135047,0.135398,0.135749,0.1361,0.136451,0.136802,0.137156,0.137511,0.137865,0.13822,0.138575,0.138953,0.139331,0.13971,0.140088,0.140466,0.140876,0.141287,0.141697,0.142107,0.142517,0.142944,0.143371,0.143797,0.144224,0.144651
residential buildings sector,0.148827,0.149177,0.149527,0.149877,0.150227,0.150577,0.150922,0.151266,0.151611,0.151956,0.1523,0.152648,0.152997,0.153345,0.153693,0.154041,0.154413,0.154784,0.155156,0.155527,0.155899,0.156302,0.156704,0.157107,0.15751,0.157913,0.158332,0.158751,0.15917,0.159589,0.160008
commercial buildings sector,0.148827,0.149177,0.149527,0.149877,0.150227,0.150577,0.150922,0.151266,0.151611,0.151956,0.1523,0.152648,0.152997,0.153345,0.153693,0.154041,0.154413,0.154784,0.155156,0.155527,0.155899,0.156302,0.156704,0.157107,0.15751,0.157913,0.158332,0.158751,0.15917,0.159589,0.160008
industry sector,0.13115,0.131507,0.131865,0.132222,0.132579,0.132937,0.133289,0.13364,0.133992,0.134344,0.134696,0.135051,0.135407,0.135762,0.136117,0.136473,0.136852,0.137231,0.13761,0.13799,0.138369,0.13878,0.139191,0.139603,0.140014,0.140425,0.140853,0.14128,0.141708,0.142136,0.142564
district heat and hydrogen sector,0.133265,0.133621,0.133978,0.134334,0.134691,0.135047,0.135398,0.135749,0.1361,0.136451,0.136802,0.137156,0.137511,0.137865,0.13822,0.138575,0.138953,0.139331,0.13971,0.140088,0.140466,0.140876,0.141287,0.141697,0.142107,0.142517,0.142944,0.143371,0.143797,0.144224,0.144651
LULUCF sector,0.118526,0.118889,0.119251,0.119614,0.119976,0.120339,0.120696,0.121053,0.12141,0.121766,0.122123,0.122484,0.122844,0.123205,0.123566,0.123926,0.124311,0.124696,0.12508,0.125465,0.12585,0.126267,0.126684,0.127102,0.127519,0.127936,0.12837,0.128804,0.129238,0.129672,0.130106
geoengineering sector,0.13115,0.131507,0.131865,0.132222,0.132579,0.132937,0.133289,0.13364,0.133992,0.134344,0.134696,0.135051,0.135407,0.135762,0.136117,0.136473,0.136852,0.137231,0.13761,0.13799,0.138369,0.13878,0.139191,0.139603,0.140014,0.140425,0.140853,0.14128,0.141708,0.142136,0.142564
