Unnamed: 0,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
transportation sector,0.789033,0.786777,0.784521,0.782265,0.78001,0.777754,0.775478,0.773203,0.770927,0.768652,0.766377,0.764053,0.761729,0.759405,0.757081,0.754757,0.75244,0.750123,0.747806,0.745489,0.743172,0.74095,0.738727,0.736504,0.734281,0.732058,0.730002,0.727945,0.725888,0.723832,0.721775
electricity sector,0.8516,0.849166,0.846731,0.844296,0.841861,0.839427,0.836971,0.834515,0.832059,0.829603,0.827148,0.824639,0.822131,0.819623,0.817114,0.814606,0.812106,0.809605,0.807104,0.804604,0.802103,0.799704,0.797305,0.794906,0.792507,0.790108,0.787888,0.785668,0.783449,0.781229,0.779009
residential buildings sector,0.824835,0.822477,0.820119,0.817761,0.815403,0.813044,0.810666,0.808287,0.805908,0.80353,0.801151,0.798722,0.796292,0.793863,0.791433,0.789004,0.786582,0.78416,0.781738,0.779316,0.776894,0.77457,0.772246,0.769923,0.767599,0.765275,0.763125,0.760976,0.758826,0.756676,0.754526
commercial buildings sector,0.824835,0.822477,0.820119,0.817761,0.815403,0.813044,0.810666,0.808287,0.805908,0.80353,0.801151,0.798722,0.796292,0.793863,0.791433,0.789004,0.786582,0.78416,0.781738,0.779316,0.776894,0.77457,0.772246,0.769923,0.767599,0.765275,0.763125,0.760976,0.758826,0.756676,0.754526
industry sector,0.827725,0.825359,0.822993,0.820626,0.81826,0.815893,0.813506,0.811119,0.808732,0.806345,0.803958,0.80152,0.799082,0.796644,0.794206,0.791769,0.789338,0.786908,0.784477,0.782047,0.779616,0.777284,0.774952,0.772621,0.770289,0.767957,0.765799,0.763642,0.761485,0.759327,0.75717
district heat and hydrogen sector,0.8516,0.849166,0.846731,0.844296,0.841861,0.839427,0.836971,0.834515,0.832059,0.829603,0.827148,0.824639,0.822131,0.819623,0.817114,0.814606,0.812106,0.809605,0.807104,0.804604,0.802103,0.799704,0.797305,0.794906,0.792507,0.790108,0.787888,0.785668,0.783449,0.781229,0.779009
LULUCF sector,0.834525,0.832139,0.829754,0.827368,0.824982,0.822596,0.820189,0.817783,0.815376,0.81297,0.810563,0.808105,0.805647,0.803189,0.800731,0.798273,0.795823,0.793372,0.790922,0.788471,0.786021,0.78367,0.781319,0.778968,0.776617,0.774266,0.772091,0.769915,0.76774,0.765565,0.76339
geoengineering sector,0.827725,0.825359,0.822993,0.820626,0.81826,0.815893,0.813506,0.811119,0.808732,0.806345,0.803958,0.80152,0.799082,0.796644,0.794206,0.791769,0.789338,0.786908,0.784477,0.782047,0.779616,0.777284,0.774952,0.772621,0.770289,0.767957,0.765799,0.763642,0.761485,0.759327,0.75717
